Organization Name,Organization Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),IPO Status,Last Funding Type,Number of Employees,Industries,Headquarters Location,Description,Transaction Name,Transaction Name URL,Founders,Website,Company Type,Contact Email,LinkedIn,Full Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Industry Groups,Operating Status,Last Funding Date,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni)
Stability AI,https://www.crunchbase.com/organization/stability-ai,89000000,GBP,98797885,Private,Seed,51-100,"Artificial Intelligence, Image Recognition, Information Technology, Software","London, England, United Kingdom",AI-driven visual art startup that designs and implements an open AI tools.,,,Emad Mostaque,https://stability.ai/,For Profit,info@stability.ai,https://www.linkedin.com/company/stability-ai,"Stability AI is an AI-driven visual art startup that designs and implements an open AI tool to create images based on text input given. This tool executes text commands into images and other forms of media using collective intelligence and augmented technology to help clients develop cutting-edge open AI models for image, language, audio, video, 3D, and biology. The company was founded in 2019 and is headquartered in London, England.",,2019-01-01,year,89000000,GBP,98797885,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",Active,2022-10-12,,,,,
Arloid Automation,https://www.crunchbase.com/organization/arloid-automation,14918000,USD,14918000,Private,Pre-Seed,51-100,"Artificial Intelligence, Energy Efficiency, Energy Management, Information Technology, Machine Learning, Smart Building, Software","London, England, United Kingdom",The ultimate AI solution for energy efficiency,,,"Max Zubov, Sergey Shalunov, Vladimir Pushmin",https://arloid.com,For Profit,info@arloid.com,https://www.linkedin.com/company/arloid,"We resolve energy inefficiency in real estate.  Arloid Automation is a global leader in AI-based solutions designed to simplify MEP (mechanical, electrical and plumbing engineering) systems management for a broad portfolio of real estate.  Our unique algorithm combines the power of Deep Reinforced Learning and Digital Twin technologies enabling real estate management companies to meet their financial and sustainability objectives.  Simple to deploy and intuitive to manage, arloid.ai solution, in real-time, intelligently and precisely adjusts HVAC systems settings resulting in up to 40% reduction in utility consumption bills and carbon footprint. With zero CAPEX and no additional hardware installation, our risk-free and proven technology delivers measurable results in under 60 days.  Headquartered in London, UK, Arloid Automation has representative offices in Dubai and Singapore as well as a developed international partner network.",,2019-11-04,day,8018000,USD,8018000,"Artificial Intelligence, Data and Analytics, Energy, Information Technology, Real Estate, Science and Engineering, Software, Sustainability",Active,2022-01-01,,,,,
Emperia,https://www.crunchbase.com/organization/emperia,10703105,USD,10703105,Private,Series A,11-50,"E-Commerce, Marketing, Retail, Software, Virtual Reality, Web Design","London, England, United Kingdom",Powering the creation and management of immersive virtual experiences for retailers,,,"Olga Dogadkina, Simonas Holcmann",https://emperiavr.com,For Profit,contact@emperiavr.com,https://www.linkedin.com/company/emperialondon,"The Emperia platform powers the creation and management of immersive virtual experiences for brands across multiple retail sectors. The platform marries the reach and accessibility of e-commerce with the impact of physical customer service shopping experience, while leveraging the unique traits of the virtual space; adding a layer of customer engagement, personalization, data monitoring and omnichannel cohesion. London and New York-based, the Emperia team consists of  3D environment engineers and technical artists joined by  fashion and art industry veterans and branding experts. Hailed a virtual reality pioneer by Forbes Magazine, Emperia is working with some of the world’s leading names in art, fashion and retail including Dior, Burberry, Bloomingdale's, Tommy Hilfiger,  Harrods, Giorgio Armani, Lacoste, Dom Pérignon, Christie’s, Getty Images and more. Emperia has been named one of the most promising advertising and marketing tech startups of 2022 by BusinessInsider, is a proud British Fashion Council Patron and the winner of the Plug & Play Brand & Retail Europe Start-Up Award.",,2019-05-20,day,10000000,USD,10000000,"Commerce and Shopping, Design, Hardware, Sales and Marketing, Software",Active,2023-01-25,,,,,
Attio,https://www.crunchbase.com/organization/attio,31200000,USD,31200000,Private,Series A,11-50,"CRM, Information Technology, Software","London, England, United Kingdom","Attio is the CRM of the future: data-driven, completely customizable and intuitively collaborative.",,,"Alexander Christie, Nicolas Sharp",https://attio.com,For Profit,support@attio.com,https://www.linkedin.com/company/attio,"Business software is changing fast. Notion is changing how we organize, Slack is replacing internal email, and Miro is transforming how we whiteboard. But one thing hasn't changed: relationships. Relationships are the most important part of business but somehow our tools have been left in the past. It's time for an upgrade.",,2019-01-01,year,23500000,USD,23500000,"Information Technology, Sales and Marketing, Software",Active,2023-03-01,,,,,
Valve,https://www.crunchbase.com/organization/valve,4500000,USD,4500000,Private,Seed,1-10,Software,"London, England, United Kingdom",Valve is the global industry system for flexible workspaces.,,,,https://www.valvespace.com/,For Profit,,,"Valve provides industry-leading sales, marketing, and distribution solutions for landlords, operators, and brokerages transacting in the flexible workspace market.",$1M to $10M,2019-01-01,year,4500000,USD,4500000,Software,Active,2022-09-15,,,,,
Unitary,https://www.crunchbase.com/organization/unitary,8000000,GBP,9598662,Private,Seed,11-50,"Artificial Intelligence, Content, Software","Cambridge, Cambridgeshire, United Kingdom",Unitary builds context-aware AI and multimodal machine learning approaches to analyze content in context.,,,"James Thewlis, Sasha Haco",https://unitary.ai,For Profit,,https://www.linkedin.com/company/unitaryai/,"Unitary creates context-aware AI and multimodal machine learning approaches to analyze content in context. It allows users to detect inappropriate content and take action to protect their community. Their goal is to keep the internet safer by accurately, quickly, and efficiently interpreting material.",Less than $1M,2019-06-01,month,6700000,GBP,7924127,"Artificial Intelligence, Data and Analytics, Media and Entertainment, Science and Engineering, Software",Active,2023-03-07,,,,,
Connectd,https://www.crunchbase.com/organization/linkexec,5590212,USD,5590212,Private,Seed,11-50,"Angel Investment, Financial Services, Funding Platform, Information Services, Software, Venture Capital","London, England, United Kingdom","Connectd is a product ecosystem that empowers founders, investors and advisors to manage connections.",,,"Roei Samuel, Sam Luckett",https://www.connectd.co/,For Profit,info@connectd.co,https://www.linkedin.com/company/18103326/,"Connectd is a product ecosystem that empowers founders, investors, and advisors to make and manage connections. Connectd is developing solutions that create connections in order to help startups grow and people flourish.",,2019-10-01,month,2600000,USD,2600000,"Financial Services, Information Technology, Lending and Investments, Software",Active,2023-03-13,,,,,
Phlo,https://www.crunchbase.com/organization/phlo-7035,16655380,GBP,20851743,Private,Series A,11-50,"Health Care, Internet, Medical, Pharmaceutical","London, England, United Kingdom","Phlo is a digital pharmacy that provides secure, real-time, same-day prescription delivery.",,,Nadeem Sarwar,http://www.wearephlo.com,For Profit,hello@wearephlo.com,https://www.linkedin.com/company/wearephlo/,"Phlo is a digital pharmacy delivering NHS & Private prescriptions when and where you need them. Phlo works with both repeat and acute (one-off) prescriptions. Phlo uses technology and analytics to place patients at the heart of our business, providing patients with real-time, on-demand delivery of their acute and repeat prescriptions. Phlo was established in January, 2019 in London, England by Nadeem Sarwar.",,2019-01-01,month,10000000,GBP,12221144,"Health Care, Internet Services",Active,2023-02-02,,,,,
Snoop,https://www.crunchbase.com/organization/snoop-09b7,28200000,GBP,37702199,Private,Series A,11-50,"Financial Services, FinTech, Mobile Apps","Norwich, Norfolk, United Kingdom",Snoop is a smart money mobile app that helps consumers save money on bills and subscriptions.,,,"Cara Norton, David Dyer, Jayne-Anne Gadhia, Jem Walters, John Natalizia, Ken Donald, Paul Kerridge, Paul Lloyd, Ross Logan, Scott Mowbray",https://snoop.app/,For Profit,hello@snoop.app,https://www.linkedin.com/company/snoop/,"Snoop is a smart money mobile app that helps consumers save money on bills and subscriptions. Snoop combines a smart artificial intelligence platform with human intelligence which tracks finances and offers its users recommendations for cutting bills and subscription expenses.  The company was founded in 2019 by Jayne-Anne Gadhia and it is based in Norwich, Norfolk.",$1M to $10M,2019-01-01,year,15000000,GBP,20837674,"Apps, Financial Services, Mobile, Software",Active,2021-08-02,,,,,
Hidden Road,https://www.crunchbase.com/organization/hidden-road,50000000,USD,50000000,Private,Series A,,,"London, England, United Kingdom",Hidden Road is the global credit network for institutional investors and provides easy access to both traditional and digital markets.,,,,https://hiddenroad.com,For Profit,info@hiddenroad.com.,,Hidden Road is the global credit network for institutional investors and provides easy access to both traditional and digital markets.,$1M to $10M,2019-01-01,year,50000000,USD,50000000,,Active,2022-07-07,,,,,
